STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,quantile,Quantile,coicop,Classification of individual consumption by purpose (COICOP),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,BG,Bulgaria,2020,,325,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,CY,Cyprus,2005,,264,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,CY,Cyprus,2010,,220,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,CY,Cyprus,2015,,226,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,CY,Cyprus,2020,,226,,e,estimated,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,CZ,Czechia,2005,,242,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,CZ,Czechia,2010,,228,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,CZ,Czechia,2015,,237,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DE,Germany,1988,,185.1,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DE,Germany,1994,,189.2,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DE,Germany,1999,,154.3,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DE,Germany,2005,,156,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DE,Germany,2010,,149,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DE,Germany,2015,,146,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DE,Germany,2020,,140,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DK,Denmark,1994,,155.7,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DK,Denmark,1999,,155.4,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DK,Denmark,2005,,140,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DK,Denmark,2010,,122,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DK,Denmark,2015,,123,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,DK,Denmark,2020,,125,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1994,,233.3,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1999,,192.5,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2005,,195,,e,estimated,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2010,,163,,u,low reliability,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EA12,Euro area - 12 countries (2001-2006),2005,,195,,e,estimated,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EA12,Euro area - 12 countries (2001-2006),2010,,159,,u,low reliability,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EA13,Euro area - 13 countries (2007),2005,,195,,e,estimated,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EA13,Euro area - 13 countries (2007),2010,,159,,u,low reliability,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EA17,Euro area - 17 countries (2011-2013),2010,,162,,u,low reliability,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EA18,Euro area - 18 countries (2014),2010,,163,,u,low reliability,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EA20,Euro area – 20 countries (from 2023),2020,,162,,e,estimated,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EE,Estonia,2005,,308,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EE,Estonia,2010,,319,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EE,Estonia,2015,,315,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EE,Estonia,2020,,272,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EEA28,"European Economic Area (EU25 - 2004-2006 and IS, LI, NO)",2005,,200,,e,estimated,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EEA28,"European Economic Area (EU25 - 2004-2006 and IS, LI, NO)",2010,,170,,u,low reliability,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2010,,185,,u,low reliability,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EFTA,European Free Trade Association,2005,,133,,u,low reliability,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EFTA,European Free Trade Association,2010,,129,,u,low reliability,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EL,Greece,1988,,288.3,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EL,Greece,1994,,240,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EL,Greece,1999,,239.5,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EL,Greece,2005,,213,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EL,Greece,2010,,226,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EL,Greece,2015,,225,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EL,Greece,2020,,222,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,ES,Spain,1988,,346.3,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,ES,Spain,1994,,308.2,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,ES,Spain,1999,,249.4,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,ES,Spain,2005,,254,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,ES,Spain,2010,,190,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,ES,Spain,2015,,194,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,ES,Spain,2020,,197,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EU15,European Union - 15 countries (1995-2004),1994,,221.6,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EU15,European Union - 15 countries (1995-2004),1999,,183.6,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EU15,European Union - 15 countries (1995-2004),2005,,182,,e,estimated,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EU15,European Union - 15 countries (1995-2004),2010,,153,,u,low reliability,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EU25,European Union - 25 countries (2004-2006),2005,,201,,e,estimated,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EU25,European Union - 25 countries (2004-2006),2010,,170,,u,low reliability,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EU27_2007,European Union - 27 countries (2007-2013),2005,,222,,e,estimated,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EU27_2007,European Union - 27 countries (2007-2013),2010,,186,,u,low reliability,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EU27_2020,European Union - 27 countries (from 2020),2015,,188,,e,estimated,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,EU27_2020,European Union - 27 countries (from 2020),2020,,183,,e,estimated,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FI,Finland,1994,,185.1,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FI,Finland,1999,,170.2,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FI,Finland,2005,,156,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FI,Finland,2010,,148,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FI,Finland,2015,,128,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FI,Finland,2020,,161,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FR,France,1988,,218.2,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FR,France,1994,,206.7,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FR,France,1999,,182.4,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FR,France,2005,,151,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FR,France,2010,,158,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FR,France,2015,,147,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,FR,France,2020,,147,,e,estimated,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,HR,Croatia,2005,,376,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,HR,Croatia,2010,,312,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,HR,Croatia,2015,,305,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,HR,Croatia,2020,,276,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,HU,Hungary,2005,,294,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,HU,Hungary,2010,,209,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,HU,Hungary,2015,,226,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,HU,Hungary,2020,,173,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,IE,Ireland,1994,,271.1,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,IE,Ireland,1999,,183.7,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,IE,Ireland,2005,,180,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,IE,Ireland,2010,,130,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,IE,Ireland,2015,,137,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,IE,Ireland,2020,,135,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,IT,Italy,1988,,386.5,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,IT,Italy,1994,,329.6,,,,,
