,"Québec Cap-and-Trade System",,,,,,,," ","China National Emissions Trading System",,,," ","European Union Emissions Trading System (until 2018)",,,," ","European Union Emissions Trading System (from 2019, download)",,,,," ","United Kingdom Emissions Trading Scheme (download)",,,,,,," ","Korean Emissions Trading System",,,,," ","Washington Cap-and-Invest Program (download)",,,,,,,,," ","California Cap-and-Trade Program (download)",,,,,,,,,," "
2017-05-16,0.66470053,0.734992611,CAD,18.82,18.51,50.44,56.74,63.04," ",,,,," ",1,1.10575,EUR,4.45," ",,,,,," ",,,,,,,," ",0.000803679,0.000888668,KRW,,20600," ",,,,,,,,,," ",0.904363554,1,USD,13.8,13.57,50.69,57.04,63.37,,," "
2017-08-15,0.67194699,0.793350282,CAD,18.74,17.24,50.44,56.74,63.04," ",,,,," ",1,1.180673913,EUR,," ",,,,,," ",,,,,,,," ",,,,,," ",,,,,,,,,," ",0.84697391,1,USD,14.75,13.57,50.69,57.04,63.37,,," "
2017-11-14,0.667196665,0.783155445,CAD,19.1,17.21,50.44,56.74,63.04," ",,,,," ",1,1.1738,EUR,7.26," ",,,,,," ",,,,,,,," ",0.000770953,0.000904945,KRW,,23600," ",,,,,,,,,," ",0.85193389,1,USD,15.06,13.57,50.69,57.04,63.37,,," "
2018-02-21,0.643450913,0.794520319,CAD,18.44,18.34,53.38,60.04,66.71," ",,,,," ",1,1.23478,EUR,," ",,,,,," ",,,,,,,," ",0.000750163,0.000926286,KRW,,22000," ",,,,,,,,,," ",0.809860866,1,USD,14.61,14.53,54.26,61.06,67.83,,," "
2018-05-15,0.657626394,0.776803243,CAD,18.72,18.56,53.38,60.04,66.71," ",,,,," ",1,1.181222727,EUR,14.7," ",,,,,," ",,,,,,,," ",0.0007865,0.000929031,KRW,,22100," ",,,,,,,,,," ",0.846580392,1,USD,14.65,14.53,54.26,61.06,67.83,,," "
2018-08-15,0.663957535,0.76680167,CAD,19.77,19.09,53.38,60.04,66.71," ",,,,," ",1,1.154895652,EUR,," ",,,,,," ",,,,,,,," ",,,,,," ",,,,,,,,,," ",0.865879093,1,USD,15.05,14.53,54.26,61.06,67.83,,," "
2018-11-14,0.666543829,0.757651281,CAD,20.27,19.24,53.38,60.04,66.71," ",,,,," ",1,1.136686364,EUR,," ",,,,,," ",,,,,,,," ",0.00077952,0.000886069,KRW,,23300," ",,,,,,,,,," ",0.879750151,1,USD,15.31,14.53,54.26,61.06,67.83,,," "
2019-02-20,0.66711805,0.757255705,CAD,20.82,20.68,56.96,64.07,71.19," ",,,,," ",,,,," ",,,,,," ",,,,,,,," ",0.000784862,0.000890908,KRW,,26000," ",,,,,,,,,," ",0.880968008,1,USD,15.73,15.62,58.34,65.65,72.93,,," "
2019-05-14,0.664262056,0.742949936,CAD,23.48,21.02,56.96,64.07,71.19," ",,,,," ",,,,," ",1,1.118459091,EUR,25.03,," ",,,,,,,," ",0.000755594,0.000845101,KRW,,28200," ",,,,,,,,,," ",0.894087239,1,USD,17.45,15.62,58.34,65.65,72.93,,," "
2019-08-19,0.67696342,0.753204887,CAD,22.82,20.77,56.96,64.07,71.19," ",,,,," ",,,,," ",1,1.112622727,EUR,26.25,25.92," ",,,,,,,," ",0.000743418,0.000827144,KRW,,29900," ",,,,,,,,,," ",0.898777254,1,USD,17.16,15.62,58.34,65.65,72.93,,," "
2019-11-19,0.683868735,0.755740082,CAD,22.46,20.64,56.96,64.07,71.19," ",,,,," ",,,,," ",1,1.105095238,EUR,23.62,," ",,,,,,,," ",0.000775108,0.000856568,KRW,,36550," ",,,,,,,,,," ",0.904899384,1,USD,17,15.62,58.34,65.65,72.93,,," "
2020-02-19,0.690216351,0.752680931,CAD,23.69,22.11,60.79,68.38,75.97," ",,,,," ",,,,," ",,,,,," ",,,,,,,," ",0.000768151,0.000837668,KRW,,39400," ",,,,,,,,,," ",0.917010546,1,USD,17.87,16.68,62.29,70.09,77.86,,," "
2020-05-20,0.656906835,0.716149978,CAD,23.17,23.17,60.79,68.38,75.97," ",,,,," ",,,,," ",1,1.090185,EUR,20.11,," ",,,,,,,," ",0.00074656,0.000813888,KRW,,33700," ",,,,,,,,,," ",0.917275508,1,USD,16.68,16.68,62.29,70.09,77.86,,," "
2020-08-18,0.639376865,0.756261045,CAD,22.03,22.03,60.79,68.38,75.97," ",,,,," ",,,,," ",1,1.182809524,EUR,26.05,," ",,,,,,,," ",0.000712343,0.000842566,KRW,,20000," ",,,,,,,,,," ",0.845444664,1,USD,16.68,16.68,62.29,70.09,77.86,,," "
2020-11-17,0.646038723,0.764774487,CAD,22.15,21.83,60.79,68.38,75.97," ",,,,," ",,,,," ",1,1.183790476,EUR,27.12,," ",,,,,,,," ",0.000756424,0.000895448,KRW,,22200," ",,,,,,,,,," ",0.844744083,1,USD,16.93,16.68,62.29,70.09,77.86,,," "
2021-02-17,0.650930897,0.78748969,CAD,22.58,22.49,52.57,67.56,82.54," ",,,,," ",,,,," ",1,1.20979,EUR,38.42,," ",,,,,,,," ",0.000743523,0.000899507,KRW,,19000," ",,,,,,,,,," ",0.826589739,1,USD,17.8,17.71,41.4,53.2,,65,," "
2021-05-19,0.677863661,0.823326747,CAD,22.26,21.51,50.28,64.62,78.95," ",,,,," ",,,,," ",1,1.214590476,EUR,52.12,," ",1.159172142,1.407919444,GBP,43.99,22,,," ",,,,,," ",,,,,,,,,," ",0.823322774,1,USD,18.8,17.71,41.4,53.2,,65,," "
2021-08-18,0.673984445,0.793402234,CAD,29.41,22.32,52.18,67.05,81.93," ",0.131171982,0.154413272,CNY,51.87," ",,,,," ",1,1.177181818,EUR,57.7,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,25600," ",,,,,,,,,," ",0.849486447,1,USD,23.3,17.71,41.4,53.2,,65,," "
2021-11-17,0.698481862,0.797250372,CAD,35.47,22.21,51.93,66.73,81.53," ",0.137105471,0.156492808,CNY,43.12," ",,,,," ",1,1.141404545,EUR,67.14,," ",1.180716342,1.347675,GBP,59,22,50.37,," ",0.000740643,0.000845373,KRW,,33000," ",,,,,,,,,," ",0.87611356,1,USD,28.26,17.71,41.4,53.2,,65,," "
2022-02-16,0.693264816,0.786294022,CAD,37.14,25.05,58.57,75.25,91.94," ",0.139037152,0.157694548,CNY,56.6," ",,,,," ",1,1.13419,EUR,88.05,," ",,,,,,,," ",0.000735757,0.000834488,KRW,,30500," ",,,,,,,,,," ",0.88168649,1,USD,29.15,19.7,46.05,59.17,,72.29,," "
2022-05-18,0.73495674,0.777473987,CAD,39.59,25.34,59.23,76.11,92.98," ",0.140725068,0.148866013,CNY,58," ",,,,," ",1,1.05785,EUR,87.25,," ",1.175989034,1.24402,GBP,82.2,22,95.06,," ",0.000744412,0.000787476,KRW,,20400," ",,,,,,,,,," ",0.945313608,1,USD,30.85,19.7,46.05,59.17,,72.29,," "
2022-08-17,0.764079629,0.773893069,CAD,34.74,25.46,59.5,76.46,93.41," ",0.145147625,0.147011825,CNY,58," ",,,,," ",1,1.012843478,EUR,94.07,," ",,,,,,,," ",0.000748854,0.000758472,KRW,,27400," ",,,,,,,,,," ",0.987319385,1,USD,27,19.7,46.05,59.17,,72.29,," "
2022-11-16,0.728383371,0.743043742,CAD,35.62,26.51,61.97,79.63,97.29," ",0.136512243,0.139259862,CNY,57.8," ",,,,," ",1,1.020127273,EUR,74.25,," ",1.147173035,1.1702625,GBP,67.74,22,141.41,," ",0.00071862,0.000733084,KRW,,19000," ",,,,,,,,,," ",0.980269842,1,USD,26.8,19.7,46.05,59.17,,72.29,," "
2023-02-15,0.693861818,0.743479877,CAD,37.17,29.87,69.83,89.73,109.62," ",0.13653159,0.146294965,CNY,56.04," ",,,,," ",1,1.07151,EUR,87.75,," ",,,,,,,," ",0.000734424,0.000786943,KRW,,12800," ",,,,,,,,,," ",0.933262405,1,USD,27.85,22.21,51.92,66.71,,81.5,," "
2023-05-17,0.68077053,0.739827374,CAD,40.81,30.02,70.18,90.17,110.16," ",0.131557706,0.142970337,CNY,56.25," ",,,,," ",1,1.08675,EUR,85.58,," ",1.148497815,1.24813,GBP,57.5,22,196.08,," ",0.000692793,0.000752893,KRW,,12400," ",,,,,,,,,," ",0.920174833,1,USD,30.33,22.21,51.92,66.71,,81.5,," "
2023-08-16,0.679763105,0.741544705,CAD,47.46,29.95,70.02,89.96,109.91," ",0.126389095,0.137876215,CNY,70," ",,,,," ",1,1.090886957,EUR,87.01,," ",,,,,,,," ",0.000695264,0.000758455,KRW,,8000," ",,,,,,,,,," ",0.916685266,1,USD,35.2,22.21,51.92,66.71,,81.5,," "
2023-11-15,0.674411293,0.728919054,CAD,53.16,30.47,71.23,91.52,111.81," ",0.127857694,0.138191502,CNY,72.1," ",,,,," ",1,1.080822727,EUR,79.45,," ",1.147100693,1.2398125,GBP,41.52,22,212.91,," ",0.000706065,0.000763132,KRW,,9900," ",,,,,,,,,," ",0.925221107,1,USD,38.73,22.21,51.92,66.71,,81.5,," "
2024-02-14,0.686166237,0.740696848,CAD,56.61,32.46,75.87,97.49,119.1," ",,,,," ",,,,," ",1,1.079471429,EUR,54.07,," ",,,,,,,," ",0.000695616,0.000750897,KRW,9050,9120," ",,,,,,,,,," ",0.926379313,1,USD,41.76,24.04,56.2,72.21,,88.22,," "
2024-05-22,0.676255481,0.731182796,CAD,50.53,32.88,76.86,98.76,120.65," ",0.128099405,0.13782215,CNY,97.79," ",,,,," ",1,1.081222727,EUR,74.31,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8850," ",,,,,,,,,," ",0.92487882,1,USD,37.02,24.04,56.2,72.21,,88.22,," "
2024-08-14,0.678222104,0.729699161,CAD,41.5,32.82,76.72,98.58,120.43," ",0.128099405,0.13782215,CNY,91.78," ",,,,," ",1,1.0759,EUR,70.59,," ",,,,,,,," ",0.000673463,0.000724579,KRW,9000,9100," ",,,,,,,,,," ",0.92945441,1,USD,30.24,24.04,56.2,72.21,,88.22,," "
2024-11-20,0.678222104,0.729699161,CAD,44.61,33.58,78.51,100.87,123.24," ",0.128099405,0.13782215,CNY,104.71," ",,,,," ",1,1.0759,EUR,68.02,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,11500," ",,,,,,,,,," ",0.92945441,1,USD,31.91,24.04,56.2,72.21,,88.22,," "
2025-02-19,0.678222104,0.729699161,CAD,41.54,36.99,86.47,111.1,135.73," ",0.128099405,0.13782215,CNY,90.5," ",,,,," ",1,1.0759,EUR,72.9,," ",1.181363461,1.271028947,GBP,41.25,22,166.62,," ",0.000673463,0.000724579,KRW,,9600," ",,,,,,,,,," ",0.92945441,1,USD,29.27,25.87,60.47,77.7,,94.92,," "
2025-05-21,0.678222104,0.729699161,CAD,36.05,35.9,83.91,107.82,131.71," ",0.128099405,0.13782215,CNY,70.96," ",,,,," ",,,,,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8950," ",,,,,,,,,," ",0.92945441,1,USD,25.87,25.87,60.47,77.7,,94.92,," "
2021-07-16,,,,,,,,," ",0.130645785,0.154447072,CNY,51.23," ",,,,," ",1,1.182181818,EUR,53.33,," ",,,,,,,," ",0.00073943,0.000874141,KRW,,20100," ",,,,,,,,,," ",,,,,,,,,,," "
2021-07-19,,,,,,,,," ",0.130645785,0.154447072,CNY,52.3," ",,,,," ",1,1.182181818,EUR,53.55,51.49," ",1.167783567,1.3805325,GBP,,,,43.18," ",0.00073943,0.000874141,KRW,,20100," ",,,,,,,,,," ",0.845893571,1,USD,,,,,,,22.68," "
2021-07-20,,,,,,,,," ",0.130645785,0.154447072,CNY,53.28," ",,,,," ",1,1.182181818,EUR,51.74,," ",,,,,,,," ",0.00073943,0.000874141,KRW,,20100," ",,,,,,,,,," ",,,,,,,,,,," "
2021-07-21,,,,,,,,," ",0.130645785,0.154447072,CNY,54.4," ",,,,," ",1,1.182181818,EUR,51.7,," ",,,,,,,," ",0.00073943,0.000874141,KRW,,20100," ",,,,,,,,,," ",,,,,,,,,,," "
2021-07-22,,,,,,,,," ",0.130645785,0.154447072,CNY,55.52," ",,,,," ",1,1.182181818,EUR,51.44,," ",,,,,,,," ",0.00073943,0.000874141,KRW,,20100," ",,,,,,,,,," ",,,,,,,,,,," "
2021-07-23,,,,,,,,," ",0.130645785,0.154447072,CNY,56.97," ",,,,," ",1,1.182181818,EUR,50.13,," ",,,,,,,," ",0.00073943,0.000874141,KRW,,20100," ",,,,,,,,,," ",,,,,,,,,,," "
2021-07-26,,,,,,,,," ",0.130645785,0.154447072,CNY,54.46," ",,,,," ",1,1.182181818,EUR,51.79,53.47," ",1.167783567,1.3805325,GBP,,,,43.49," ",0.00073943,0.000874141,KRW,,20100," ",,,,,,,,,," ",0.845893571,1,USD,,,,,,,22.47," "
2021-07-27,,,,,,,,," ",0.130645785,0.154447072,CNY,54.63," ",,,,," ",1,1.182181818,EUR,52.8,," ",,,,,,,," ",0.00073943,0.000874141,KRW,,20100," ",,,,,,,,,," ",,,,,,,,,,," "
2021-07-28,,,,,,,,," ",0.130645785,0.154447072,CNY,52.5," ",,,,," ",1,1.182181818,EUR,53.45,," ",1.167783567,1.3805325,GBP,42.29,22,,," ",0.00073943,0.000874141,KRW,,20500," ",,,,,,,,,," ",,,,,,,,,,," "
2021-07-29,,,,,,,,," ",0.130645785,0.154447072,CNY,52.96," ",,,,," ",1,1.182181818,EUR,54.02,," ",,,,,,,," ",0.00073943,0.000874141,KRW,,20700," ",,,,,,,,,," ",,,,,,,,,,," "
2021-07-30,,,,,,,,," ",0.130645785,0.154447072,CNY,54.17," ",,,,," ",1,1.182181818,EUR,53,," ",,,,,,,," ",0.00073943,0.000874141,KRW,,20850," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-02,,,,,,,,," ",0.131171982,0.154413272,CNY,51.99," ",,,,," ",1,1.177181818,EUR,54.6,55.34," ",1.172483442,1.38022619,GBP,,,,46.86," ",0.000732101,0.000861816,KRW,,21300," ",,,,,,,,,," ",0.849486447,1,USD,,,,,,,22.98," "
2021-08-03,,,,,,,,," ",0.131171982,0.154413272,CNY,53.44," ",,,,," ",1,1.177181818,EUR,54.17,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,21700," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-04,,,,,,,,," ",0.131171982,0.154413272,CNY,58.7," ",,,,," ",1,1.177181818,EUR,55,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,22150," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-05,,,,,,,,," ",0.131171982,0.154413272,CNY,54.9," ",,,,," ",1,1.177181818,EUR,54.84,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,22150," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-06,,,,,,,,," ",0.131171982,0.154413272,CNY,52.96," ",,,,," ",1,1.177181818,EUR,56.72,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,22150," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-09,,,,,,,,," ",0.131171982,0.154413272,CNY,53.32," ",,,,," ",1,1.177181818,EUR,56,56.69," ",1.172483442,1.38022619,GBP,,,,48.35," ",0.000732101,0.000861816,KRW,,22150," ",,,,,,,,,," ",0.849486447,1,USD,,,,,,,23.44," "
2021-08-10,,,,,,,,," ",0.131171982,0.154413272,CNY,55.32," ",,,,," ",1,1.177181818,EUR,57.1,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,24000," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-11,,,,,,,,," ",0.131171982,0.154413272,CNY,55.9," ",,,,," ",1,1.177181818,EUR,56.69,," ",1.172483442,1.38022619,GBP,47.25,22,44.74,," ",0.000732101,0.000861816,KRW,21750,26400," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-12,,,,,,,,," ",0.131171982,0.154413272,CNY,55.43," ",,,,," ",1,1.177181818,EUR,57.36,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,26000," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-13,,,,,,,,," ",0.131171982,0.154413272,CNY,54," ",,,,," ",1,1.177181818,EUR,55.6,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,26000," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-16,,,,,,,,," ",0.131171982,0.154413272,CNY,51," ",,,,," ",1,1.177181818,EUR,57.18,56.08," ",1.172483442,1.38022619,GBP,,,,48.61," ",,,,,," ",,,,,,,,,," ",0.849486447,1,USD,,,,,,,23.15," "
2021-08-17,,,,,,,,," ",0.131171982,0.154413272,CNY,51.76," ",,,,," ",1,1.177181818,EUR,57.4,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,26000," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-19,,,,,,,,," ",0.131171982,0.154413272,CNY,50.49," ",,,,," ",1,1.177181818,EUR,55.81,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,27000," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-20,,,,,,,,," ",0.131171982,0.154413272,CNY,49," ",,,,," ",1,1.177181818,EUR,54.4,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,26100," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-23,,,,,,,,," ",0.131171982,0.154413272,CNY,50.2," ",,,,," ",1,1.177181818,EUR,55.95,56.88," ",1.172483442,1.38022619,GBP,,,,49.2," ",0.000732101,0.000861816,KRW,,27000," ",,,,,,,,,," ",0.849486447,1,USD,,,,,,,23.87," "
2021-08-24,,,,,,,,," ",0.131171982,0.154413272,CNY,50.2," ",,,,," ",1,1.177181818,EUR,55.72,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,29400," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-25,,,,,,,,," ",0.131171982,0.154413272,CNY,47.64," ",,,,," ",1,1.177181818,EUR,56.63,," ",1.172483442,1.38022619,GBP,48.75,22,44.74,," ",0.000732101,0.000861816,KRW,,29500," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-26,,,,,,,,," ",0.131171982,0.154413272,CNY,47.64," ",,,,," ",1,1.177181818,EUR,55.61,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,28300," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-27,,,,,,,,," ",0.131171982,0.154413272,CNY,45.09," ",,,,," ",1,1.177181818,EUR,57.51,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,28200," ",,,,,,,,,," ",,,,,,,,,,," "
2021-08-30,,,,,,,,," ",0.131171982,0.154413272,CNY,45.16," ",,,,," ",1,1.177181818,EUR,,60.9," ",1.172483442,1.38022619,GBP,,,,52.23," ",0.000732101,0.000861816,KRW,,28400," ",,,,,,,,,," ",0.849486447,1,USD,,,,,,,24.77," "
2021-08-31,,,,,,,,," ",0.131171982,0.154413272,CNY,45.35," ",,,,," ",1,1.177181818,EUR,60.11,," ",,,,,,,," ",0.000732101,0.000861816,KRW,,28000," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-01,,,,,,,,," ",0.131593736,0.154890014,CNY,45.19," ",,,,," ",1,1.177031818,EUR,61.29,," ",,,,,,,," ",0.000726435,0.000855037,KRW,,27700," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-02,,,,,,,,," ",0.131593736,0.154890014,CNY,44.66," ",,,,," ",,,,,," ",,,,,,,," ",0.000726435,0.000855037,KRW,,28000," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-03,,,,,,,,," ",0.131593736,0.154890014,CNY,44.67," ",,,,," ",1,1.177031818,EUR,61.25,," ",,,,,,,," ",0.000726435,0.000855037,KRW,,28000," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-06,,,,,,,,," ",0.131593736,0.154890014,CNY,44," ",,,,," ",1,1.177031818,EUR,62.87,62.08," ",1.166104505,1.372542105,GBP,,,,53.65," ",0.000726435,0.000855037,KRW,,28000," ",,,,,,,,,," ",0.849594705,1,USD,,,,,,,24.52," "
2021-09-07,,,,,,,,," ",0.131593736,0.154890014,CNY,43.9," ",,,,," ",1,1.177031818,EUR,61.71,," ",,,,,,,," ",0.000726435,0.000855037,KRW,,28500," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-08,,,,,,,,," ",0.131593736,0.154890014,CNY,42.9," ",,,,," ",1,1.177031818,EUR,61.93,," ",1.166104505,1.372542105,GBP,53.25,22,45.9,," ",0.000726435,0.000855037,KRW,27400,29000," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-09,,,,,,,,," ",0.131593736,0.154890014,CNY,41.99," ",,,,," ",1,1.177031818,EUR,61.98,," ",,,,,,,," ",0.000726435,0.000855037,KRW,,30000," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-10,,,,,,,,," ",0.131593736,0.154890014,CNY,44," ",,,,," ",1,1.177031818,EUR,61.85,," ",,,,,,,," ",0.000726435,0.000855037,KRW,,28500," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-13,,,,,,,,," ",0.131593736,0.154890014,CNY,45.62," ",,,,," ",1,1.177031818,EUR,61.91,59.91," ",1.166104505,1.372542105,GBP,,,,53.86," ",0.000726435,0.000855037,KRW,,28200," ",,,,,,,,,," ",0.849594705,1,USD,,,,,,,25.33," "
2021-09-14,,,,,,,,," ",0.131593736,0.154890014,CNY,45.54," ",,,,," ",1,1.177031818,EUR,61.51,," ",,,,,,,," ",0.000726435,0.000855037,KRW,,28200," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-15,,,,,,,,," ",0.131593736,0.154890014,CNY,45," ",,,,," ",1,1.177031818,EUR,60,," ",,,,,,,," ",0.000726435,0.000855037,KRW,,28500," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-16,,,,,,,,," ",0.131593736,0.154890014,CNY,44.94," ",,,,," ",1,1.177031818,EUR,59.89,," ",,,,,,,," ",0.000726435,0.000855037,KRW,,28500," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-17,,,,,,,,," ",0.131593736,0.154890014,CNY,43.43," ",,,,," ",1,1.177031818,EUR,59.6,," ",,,,,,,," ",0.000726435,0.000855037,KRW,,28400," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-22,,,,,,,,," ",0.131593736,0.154890014,CNY,43.24," ",,,,," ",1,1.177031818,EUR,60.02,," ",1.166104505,1.372542105,GBP,55.21,22,45.9,," ",,,,,," ",,,,,,,,,," ",,,,,,,,,,," "
2021-09-23,,,,,,,,," ",0.131593736,0.154890014,CNY,43.85," ",,,,," ",1,1.177031818,EUR,59.45,," ",,,,,,,," ",0.000726435,0.000855037,KRW,,29000," ",,,,,,,,,," ",,,,,,,,,,," "
